log,idx,bs,N,C,H,nomask,distribution,runs,mean_us,best_us,std_us,err_us
gpumode/trimul_a100/logs/v31_cuda_ext_tile_dispatch_nomask_leaderboard_20260507_133232.out,3,1,512,128,128,1,normal,3,1572.181,1569.792,2.577,1.488
gpumode/trimul_a100/logs/v31_cuda_ext_tile_dispatch_nomask_leaderboard_20260507_133232.out,4,1,1024,128,128,1,cauchy,3,7289.856,7280.640,9.768,5.640
gpumode/trimul_a100/logs/v31_cuda_ext_tile_dispatch_nomask_leaderboard_20260507_133232.out,5,1,768,384,128,0,normal,8,5169.920,5154.816,12.973,4.587
gpumode/trimul_a100/logs/v31_cuda_ext_tile_dispatch_nomask_leaderboard_20260507_133232.out,6,1,1024,384,128,1,normal,3,9123.157,9114.624,9.946,5.742
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_133602.out,0,2,256,128,128,1,normal,5,840.294,838.656,1.713,0.766
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_133602.out,1,1,768,128,128,1,cauchy,3,4031.488,4026.368,4.463,2.577
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_133602.out,2,2,256,384,128,0,normal,100,1197.353,1180.672,38.329,3.833
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_133602.out,3,1,512,128,128,1,normal,4,1584.128,1580.032,2.896,1.448
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_133602.out,4,1,1024,128,128,1,cauchy,3,7361.195,7350.272,9.459,5.461
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_133602.out,5,1,768,384,128,0,normal,4,5171.968,5165.056,9.287,4.643
gpumode/trimul_a100/logs/v32_cuda_ext_c384_warp_ln_leaderboard_20260507_133602.out,6,1,1024,384,128,1,normal,3,9184.256,9178.112,5.418,3.128
gpumode/trimul_a100/logs/v33_cuda_ext_c384_warp_large_nomask_leaderboard_20260507_134234.out,0,2,256,128,128,1,normal,100,812.001,796.672,16.411,1.641
